plant_species;plant_familiy;QTY_mean;QTY_SE;energy_fruit;QLY_SE;FFM;FDIAM;PDM;TE;TE2;Aburria_jacutinga;Baillonius_bailloni;Euphonia_chlorotica;Euphonia_pectoralis;Euphonia_violacea;Penelope_obscura;Procnias_nudicollis;Ramphastos_dicolorus;Ramphastos_vitellinus;Selenidera_maculirostris;Tangara_cayana;Tangara_cyanocephala;Tangara_seledon;Thraupis_palmarum;Thraupis_sayaca;Tityra_cayana;Trogon_surrucura;Trogon_viridis;Turdus_albicollis;Turdus_rufiventris
Acnistus arborescens;Solanaceae;0.83;0.2225;0.25;NA;0.15;6.05;0.026;0.21;0.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.27;NA;NA;NA;0.16;NA;NA;NA;NA;NA
Alchornea glandulosa;Euphorbiaceae;3.67;1.313338112;0.5;0.164;0.08;5.03;0.018;1.84;1.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.34;0.42;0.49;0.73;3.76;NA;NA;NA;1.55;2.49
Alchornea triplinervia;Euphorbiaceae;0.54;0.236006356;1.51;NA;0.25;6.26;0.054;0.77;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.97;NA;0.11;1.19
Cabralea canjerana;Meliaceae;1.53;0.781397019;10.02;1.016;0.93;9.73;0.35;15.37;22.4;NA;5.27;NA;NA;NA;NA;NA;19.97;31.3;NA;NA;NA;NA;NA;NA;88.35;1.37;NA;5.23;5.3
Cecropia glaziovii;Urticaceae;0.04;0.02193621;5.08;0.597;14.87;11.2;1.19;0.18;0.16;0.09;NA;0;NA;0.01;NA;NA;0.11;NA;0.22;NA;0;0.02;0.3;1.34;0.02;0.01;0.01;NA;0.01
Cecropia pachystachya;Urticaceae;0.01;0.001414214;5.39;0.942;10.4;13.65;0.8;0.04;0.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06;NA;NA;0.03;0.04;NA;NA;NA;NA;NA
Cinnamomum triplinerve;Lauraceae;12;NA;2.5;0.623;NA;NA;0.221;30.04;30.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30.04
Citharexylum myrianthum;Verbenaceae;0.58;0.193036248;2.08;NA;1.6;10.7;0.133;1.21;1.04;NA;NA;NA;NA;0.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.61;NA;NA;NA;1.04;1.08
Copaifera langsdorffii;Fabaceae;0.38;0.200217285;1.4;0.458;0.98;15.36;0.081;0.54;0.64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3;NA;NA;NA;1.89;NA;NA;NA;0.04;0.35
Cupania oblongifolia;Sapindaceae;1.78;1.338683518;3.59;1.07615376;1.4;15.48;0.132;6.38;4.09;NA;NA;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.22;0.22;NA;NA;NA;2.05;17.87
Erythroxylum ambiguum;Erythroxylaceae;0.53;0.274403426;4.29;NA;0.17;5.49;0.136;2.29;2.1;NA;NA;NA;NA;NA;NA;NA;0.23;NA;NA;NA;NA;NA;NA;4.44;NA;NA;NA;3.02;0.72
Eugenia umbelliflora;Myrtaceae;0.88;0.4463972;0.79;NA;1.38;12.12;0.26;0.69;0.69;NA;NA;NA;NA;NA;NA;0.2;NA;NA;NA;NA;NA;NA;0.13;2.04;NA;NA;NA;0.41;0.66
Eugenia uniflora;Myrtaceae;1.81;1.203990822;6.49;1.279;3.1;19.07;0.431;11.75;6.72;NA;NA;NA;NA;NA;NA;NA;0.21;NA;NA;NA;NA;NA;NA;19.29;NA;NA;NA;NA;0.65
Euterpe edulis;Arecaceae;0.16;0.039472204;5.18;1.151;1.42;13.29;0.323;0.83;0.82;3.24;1.21;NA;NA;NA;0.4;0.49;0.22;0.54;2.08;NA;0.04;0.06;NA;NA;0.03;NA;1.52;0.48;0.29
Ficus benjamina;Moraceae;4.81;3.6445;1.19;NA;0.85;7.6;0.082;5.74;5.74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4;10.09;NA;NA;NA;NA;NA
Ficus insipida;Moraceae;15;NA;36.7159936;NA;9.73;24.31;2.288;128.9;128.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;128.9;NA;NA;NA;NA;NA
Magnolia ovata;Magnoliaceae;1.64;0.508810486;5.45;0.658;0.52;10.39;0.265;8.91;8.91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.56;NA;NA;NA;14.06;NA;NA;NA;NA;8.11
Miconia prasina;Melastomataceae;2.89;2.755666667;1.12;NA;0.12;5.44;0.09;3.25;3.25;NA;NA;NA;NA;9.45;NA;NA;NA;NA;NA;NA;NA;NA;0.15;0.15;NA;NA;NA;NA;NA
Miconia pusilliflora;Melastomataceae;0.12;NA;0.47;NA;0.06;4.24;0.057;0.06;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06
Myrsine coriacea;Primulaceae;3.05;0.944679651;0.25;0.068;0.03;3.52;0.013;0.77;0.49;NA;NA;NA;NA;NA;NA;NA;0.27;NA;NA;0.03;0.68;0.17;0.04;0.25;0.18;NA;NA;0.44;2.32
Myrsine gardneriana;Primulaceae;0.07;0.036269056;0.17;0.027;0.06;4.21;0.022;0.01;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0.02;0.01;NA;NA;NA;NA;NA
Myrsine umbellata;Primulaceae;4.74;3.839864743;0.03;0.011;0.16;5.26;0.008;0.12;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.04;NA;NA;0;NA;NA;NA;0.61;0.07
Nectandra megapotamica;Lauraceae;3.18;1.96948307;1.93;0.525;0.33;7.82;0.077;6.13;6.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.17;0.22;NA;16.05;8.09
Ocotea pulchella;Lauraceae;1.91;NA;1.63;0.972;0.17;6.08;0.074;3.11;3.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.11
Phoradendron affine;Santalaceae;36;0.32;0.15;0.084;0.02;3.3;0.007;5.53;5.53;NA;NA;5.53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phoradendron crassifolium;Santalaceae;3.81;NA;0.15;0.084;0.04;3.97;0.007;0.59;0.59;NA;NA;NA;NA;0.59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phoradendron piperoides;Santalaceae;3.6;1.1995;0.15;0.084;0.01;3.83;0.007;0.55;0.55;NA;NA;0.74;NA;0.37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Protium heptaphyllum;Burseraceae;1.17;0.336954566;4.2;1.729;1.96;12.7;0.918;4.91;3.92;NA;NA;6.77;NA;5.67;NA;3.47;NA;0.66;NA;0.71;NA;NA;10.86;5.17;NA;NA;NA;0.13;1.88
Schefflera morototoni;Araliaceae;0.49;0.129047584;1.88;0.195;0.51;6.9;0.116;0.92;1.05;NA;NA;NA;NA;NA;NA;NA;NA;0.88;NA;NA;NA;NA;1.14;1.48;NA;NA;NA;1.68;0.07
Schinus terebinthifolius;Anacardiaceae;4.13;1.409973747;0.02;0.007;0.03;5.17;0.007;0.09;0.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06;0.01;NA;0.05;0.18;NA;NA;NA;0.07;0.04
Sloanea guianensis;Elaeocarpaceae;0.24;0.056689799;2.75;1.313;0.3;7;0.182;0.65;0.65;NA;NA;NA;1.08;NA;NA;NA;NA;NA;0.98;0.2;0.79;0.69;NA;NA;0.2;NA;NA;NA;NA
Sorocea ilicifolia;Moraceae;0.4;NA;4.48;NA;1.8;12.33;0.29;1.79;1.79;NA;NA;NA;NA;NA;NA;1.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tapirira guianensis;Anacardiaceae;1.08;0.468088006;9.44;NA;0.74;10.47;0.569;10.19;10.7;NA;NA;3.88;NA;1.85;NA;NA;NA;NA;NA;9.72;NA;NA;8.06;30.01;NA;NA;NA;NA;NA
Trema micrantha;Cannabaceae;3.42;1.388456016;0.11;0.026;0.01;2.92;0.006;0.39;0.47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.44;0.17;NA;0.15;0.31;NA;NA;NA;NA;1.27
Virola bicuhyba;Myristicaceae;0.09;0.042416144;14.72;0.688;5.26;17.91;0.71;1.31;1.31;1.13;NA;NA;NA;NA;NA;NA;NA;0.19;1.15;NA;NA;NA;0.38;NA;NA;NA;4.95;0.96;0.38
Virola oleifera;Myristicaceae;0.01;0.002006969;11.04;0.502;3.5;15.7;0.407;0.09;0.09;NA;0.08;NA;NA;NA;NA;0.06;0.17;NA;0.04;NA;NA;NA;NA;NA;NA;NA;0.12;NA;NA
Virola sebifera;Myristicaceae;0.33;0.174845532;2.54;0.42;0.75;10.49;0.12;0.84;0.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.54;NA;0.37;NA;NA;0.08;0.86
Vitex polygama;Lamiaceae;10.2;NA;0.66;NA;2.57;16.63;0.48;6.71;6.71;NA;NA;NA;NA;NA;NA;NA;6.71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA